timestamp,symbol,strategy,action,price,quantity,order_type,tp_price,sl_price
2025-11-21 16:33:24.149283,ETHU,MA_Crossover_50_200,BUY,50.32,10,BRACKET,52.33,49.31
2025-11-21 16:33:26.802376,T,MA_Crossover_50_200,SELL,25.28,10.0,LIMIT,,
2025-11-21 16:33:28.791530,T,VWAP_Trend,BUY,25.8,10,BRACKET,26.83,25.28
2025-11-21 16:33:32.665303,CIFR,MA_Crossover_50_200,BUY,14.6,10,BRACKET,15.18,14.31
2025-11-21 16:33:41.144362,PLTZ,VWAP_Trend,BUY,8.48,10,BRACKET,8.82,8.31
2025-11-21 16:33:48.592098,TSLQ,VWAP_Trend,BUY,27.44,10,BRACKET,28.54,26.89
2025-11-21 16:34:44.261342,BMNR,MA_Crossover_50_200,BUY,26.9,10,BRACKET,27.98,26.36
2025-11-21 16:34:51.777841,IONZ,VWAP_Trend,BUY,6.05,10,BRACKET,6.29,5.93
2025-11-21 16:34:57.920931,SOFI,MA_Crossover_50_200,BUY,25.16,10,BRACKET,26.17,24.66
2025-11-21 16:36:08.563183,TSLQ,VWAP_Trend,BUY,MARKET,10,MARKET,,
2025-11-21 16:36:23.491710,PLTZ,VWAP_Trend,BUY,8.43,10,BRACKET,8.77,8.26
2025-11-21 16:36:33.279881,NVDL,MA_Crossover_50_200,BUY,83.04,10,BRACKET,86.36,81.38
2025-11-21 16:36:41.784828,NVDX,MA_Crossover_50_200,BUY,16.74,10,BRACKET,17.41,16.41
2025-11-21 16:37:00.217248,SOXL,MA_Crossover_50_200,BUY,31.06,10,BRACKET,32.3,30.44
2025-11-21 16:37:31.105961,IONZ,VWAP_Trend,BUY,6.01,10,BRACKET,6.25,5.89
2025-11-21 16:37:38.839131,MSTZ,VWAP_Trend,BUY,13.8,10,BRACKET,14.35,13.52
2025-11-21 16:38:22.146844,AMD,MA_Crossover_50_200,BUY,206.15,10,BRACKET,214.4,202.03
2025-11-21 16:38:54.881777,TSLQ,MA_Crossover_50_200,SELL,26.63,10.0,LIMIT,,
2025-11-21 16:38:56.878747,TSLQ,VWAP_Trend,BUY,27.36,10,BRACKET,28.45,26.81
2025-11-21 16:39:04.028710,PFE,MA_Crossover_50_200,BUY,25.17,10,BRACKET,26.18,24.67
2025-11-21 16:39:09.615985,PLTZ,VWAP_Trend,BUY,MARKET,10,MARKET,,
2025-11-21 16:39:15.655833,NVDL,MA_Crossover_50_200,BUY,82.07,10,BRACKET,85.35,80.43
2025-11-21 16:39:35.653934,SOXL,MA_Crossover_50_200,BUY,30.48,10,BRACKET,31.7,29.87
2025-11-21 16:39:55.702465,BMNR,MA_Crossover_50_200,BUY,26.58,10,BRACKET,27.64,26.05
2025-11-21 16:41:15.696833,TSLQ,VWAP_Trend,BUY,27.09,10,BRACKET,28.17,26.55
2025-11-21 16:41:23.699939,NVDX,MA_Crossover_50_200,BUY,16.6,10,BRACKET,17.26,16.27
2025-11-21 16:41:35.041107,PLTZ,Bollinger_Bands_Reversion,SELL,8.19,10.0,LIMIT,,
2025-11-21 16:42:28.171370,SOFI,MA_Crossover_50_200,BUY,24.94,10,BRACKET,25.94,24.44
2025-11-21 16:42:47.367046,IONZ,VWAP_Trend,BUY,6.17,10,BRACKET,6.42,6.05
2025-11-21 16:42:53.361216,MSTZ,VWAP_Trend,BUY,13.61,10,BRACKET,14.15,13.34
2025-11-21 16:44:08.213560,PLTZ,VWAP_Trend,BUY,8.56,10,BRACKET,8.9,8.39
2025-11-21 16:44:20.793099,F,MA_Crossover_50_200,BUY,12.65,10,BRACKET,13.16,12.4
2025-11-21 16:45:06.285919,BMNR,MA_Crossover_50_200,BUY,26.48,10,BRACKET,27.54,25.95
2025-11-21 16:45:21.834531,IONZ,VWAP_Trend,BUY,6.09,10,BRACKET,6.33,5.97
2025-11-21 16:45:45.495204,AMD,MA_Crossover_50_200,BUY,203.42,10,BRACKET,211.56,199.35
2025-11-21 16:46:03.397534,CIFR,MA_Crossover_50_200,BUY,14.48,10,BRACKET,15.06,14.19
